Name,Last Name,Vote,Party
Enrico,Cappelletti,no,M5S
Franco,Cardiello,no,FI-PdL
Valeria,Cardinali,si,PD
Antonio Stefano,Caridi,no,GAL
Franco,Carraro,no,FI-PdL
Monica,Casaletto,no,GAL
Pier Ferdinando,Casini,si,AP
Massimo,Cassano,si,AP
Felice,Casson,-,PD
Gianluca,Castaldi,no,M5S
Nunzia,Catalfo,no,M5S
Elena,Cattaneo,-,Aut
Gian Marco,Centinaio,no,Lega
Remigio,Ceroni,no,FI-PdL
Massimo,Cervellini,no,Misto
Federica,Chiavaroli,si,AP
Vannino,Chiti,si,PD
Carlo Azeglio,Ciampi,-,Aut
Lello,Ciampolillo,no,M5S
Andrea,Cioffi,no,M5S
